age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
39,0,77516,1,13,2,3,4,5,6,2174,0,40,7,<=50K
50,8,83311,1,13,9,10,11,5,6,0,0,13,7,<=50K
38,12,215646,13,9,14,15,4,5,6,0,0,40,7,<=50K
53,12,234721,16,7,9,15,11,17,6,0,0,40,7,<=50K
28,12,338409,1,13,9,18,19,17,20,0,0,40,21,<=50K
37,12,284582,22,14,9,10,19,5,20,0,0,40,7,<=50K
49,12,160187,23,5,24,25,4,17,20,0,0,16,26,<=50K
52,8,209642,13,9,9,10,11,5,6,0,0,45,7,>50K
31,12,45781,22,14,2,18,4,5,20,14084,0,50,7,>50K
42,12,159449,1,13,9,10,11,5,6,5178,0,40,7,>50K
37,12,280464,27,10,9,10,11,17,6,0,0,80,7,>50K
30,0,141297,1,13,9,18,11,28,6,0,0,40,29,>50K
23,12,122272,1,13,2,3,30,5,20,0,0,30,7,<=50K
32,12,205019,31,12,2,32,4,17,6,0,0,50,7,<=50K
40,12,121772,33,11,9,34,11,28,6,0,0,40,35,>50K
34,12,245487,36,4,9,37,11,38,6,0,0,45,39,<=50K
25,8,176756,13,9,2,40,30,5,6,0,0,35,7,<=50K
32,12,186824,13,9,2,41,42,5,6,0,0,40,7,<=50K
38,12,28887,16,7,9,32,11,5,6,0,0,50,7,<=50K
43,8,292175,22,14,14,10,42,5,20,0,0,45,7,>50K
40,12,193524,43,16,9,18,11,5,6,0,0,60,7,>50K
54,12,302146,13,9,44,25,42,17,20,0,0,20,7,<=50K
35,45,76845,23,5,9,40,11,17,6,0,0,40,7,<=50K
43,12,117037,16,7,9,37,11,5,6,0,2042,40,7,<=50K
59,12,109015,13,9,14,46,42,5,20,0,0,40,7,<=50K
56,47,216851,1,13,9,46,11,5,6,0,0,40,7,>50K
19,12,168294,13,9,2,34,30,5,6,0,0,40,7,<=50K
54,35,180211,27,10,9,35,11,28,6,0,0,60,48,>50K
39,12,367260,13,9,14,10,4,5,6,0,0,80,7,<=50K
49,12,193366,13,9,9,34,11,5,6,0,0,40,7,<=50K
23,47,190709,31,12,2,49,4,5,6,0,0,52,7,<=50K
20,12,266015,27,10,2,32,30,17,6,0,0,44,7,<=50K
45,12,386940,1,13,14,10,30,5,6,0,1408,40,7,<=50K
30,45,59951,27,10,9,3,30,5,6,0,0,40,7,<=50K
22,0,311512,27,10,9,25,11,17,6,0,0,15,7,<=50K
48,12,242406,16,7,2,41,42,5,6,0,0,40,50,<=50K
21,12,197200,27,10,2,41,30,5,6,0,0,40,7,<=50K
19,12,544091,13,9,51,3,19,5,20,0,0,25,7,<=50K
31,12,84154,27,10,9,32,11,5,6,0,0,38,35,>50K
48,8,265477,31,12,9,18,11,5,6,0,0,40,7,<=50K
31,12,507875,23,5,9,41,11,5,6,0,0,43,7,<=50K
53,8,88506,1,13,9,18,11,5,6,0,0,40,7,<=50K
24,12,172987,1,13,9,46,11,5,6,0,0,50,7,<=50K
49,12,94638,13,9,44,3,42,5,20,0,0,40,7,<=50K
25,12,289980,13,9,2,15,4,5,6,0,0,35,7,<=50K
57,45,337895,1,13,9,18,11,17,6,0,0,40,7,>50K
53,12,144361,13,9,9,41,11,5,6,0,0,38,7,<=50K
44,12,128354,22,14,14,10,42,5,20,0,0,40,7,<=50K
41,0,101603,33,11,9,34,11,5,6,0,0,40,7,<=50K
29,12,271466,33,11,2,18,4,5,6,0,0,43,7,<=50K
25,12,32275,27,10,9,10,19,52,20,0,0,40,7,<=50K
18,12,226956,13,9,2,25,30,5,20,0,0,30,35,<=50K
47,12,51835,53,15,9,18,19,5,20,0,1902,60,54,>50K
50,45,251585,1,13,14,10,4,5,6,0,0,55,7,>50K
47,55,109832,13,9,14,10,4,5,6,0,0,60,7,<=50K
43,12,237993,27,10,9,46,11,5,6,0,0,40,7,>50K
46,12,216666,56,3,9,41,11,5,6,0,0,40,39,<=50K
35,12,56352,33,11,9,25,11,5,6,0,0,40,50,<=50K
41,12,147372,13,9,9,3,11,5,6,0,0,48,7,<=50K
30,12,188146,13,9,9,41,11,5,6,5013,0,40,7,<=50K
30,12,59496,1,13,9,32,11,5,6,2407,0,40,7,<=50K
32,35,293936,36,4,24,35,4,5,6,0,0,40,35,<=50K
48,12,149640,13,9,9,37,11,5,6,0,0,40,7,<=50K
42,12,116632,43,16,9,18,11,5,6,0,0,45,7,>50K
29,12,105598,27,10,14,46,4,5,6,0,0,58,7,<=50K
36,12,155537,13,9,9,34,11,5,6,0,0,40,7,<=50K
28,12,183175,27,10,14,3,4,5,20,0,0,40,7,<=50K
53,12,169846,13,9,9,3,19,5,20,0,0,40,7,>50K
49,55,191681,27,10,9,10,11,5,6,0,0,50,7,>50K
25,35,200681,27,10,2,35,30,5,6,0,0,40,7,<=50K
19,12,101509,27,10,2,18,30,5,6,0,0,32,7,<=50K
31,12,309974,1,13,44,32,30,17,20,0,0,40,7,<=50K
29,8,162298,1,13,9,32,11,5,6,0,0,70,7,>50K
23,12,211678,27,10,2,41,4,5,6,0,0,40,7,<=50K
79,12,124744,27,10,9,18,57,5,6,0,0,20,7,<=50K
27,12,213921,13,9,2,25,30,5,6,0,0,40,39,<=50K
40,12,32214,31,12,9,3,11,5,6,0,0,40,7,<=50K
67,35,212759,58,6,9,35,11,5,6,0,0,2,7,<=50K
18,12,309634,16,7,2,25,30,5,20,0,0,22,7,<=50K
31,47,125927,36,4,9,40,11,5,6,0,0,40,7,<=50K
18,12,446839,13,9,2,32,4,5,6,0,0,30,7,<=50K
52,12,276515,1,13,9,25,11,5,6,0,0,40,21,<=50K
46,12,51618,13,9,9,25,19,5,20,0,0,40,7,<=50K
59,12,159937,13,9,9,32,11,5,6,0,0,48,7,<=50K
44,12,343591,13,9,14,34,4,5,20,14344,0,40,7,>50K
53,12,346253,13,9,14,32,30,5,20,0,0,35,7,<=50K
49,47,268234,13,9,9,49,11,5,6,0,0,40,7,>50K
33,12,202051,22,14,9,18,11,5,6,0,0,50,7,<=50K
30,12,54334,23,5,2,32,4,5,6,0,0,40,7,<=50K
43,45,410867,43,16,2,18,4,5,20,0,0,50,7,>50K
57,12,249977,33,11,9,18,11,5,6,0,0,40,7,<=50K
37,12,286730,27,10,14,34,42,5,20,0,0,40,7,<=50K
28,12,212563,27,10,14,41,42,17,20,0,0,25,7,<=50K
30,12,117747,13,9,9,32,19,28,20,0,1573,35,35,<=50K
34,47,226296,1,13,9,49,11,5,6,0,0,40,7,>50K
29,47,115585,27,10,2,15,4,5,6,0,0,50,7,<=50K
48,8,191277,43,16,9,18,11,5,6,0,1902,60,7,>50K
37,12,202683,27,10,9,32,11,5,6,0,0,48,7,>50K
48,12,171095,31,12,14,10,42,5,20,0,0,40,59,<=50K
32,45,249409,13,9,2,25,30,17,6,0,0,40,7,<=50K
76,12,124191,22,14,9,10,11,5,6,0,0,40,7,>50K
44,12,198282,1,13,9,10,11,5,6,15024,0,60,7,>50K
47,8,149116,22,14,2,18,4,5,20,0,0,50,7,<=50K
20,12,188300,27,10,2,46,30,5,20,0,0,40,7,<=50K
29,12,103432,13,9,2,34,4,5,6,0,0,40,7,<=50K
32,55,317660,13,9,9,34,11,5,6,7688,0,40,7,>50K
17,35,304873,58,6,2,35,30,5,20,34095,0,32,7,<=50K
30,12,194901,16,7,2,15,30,5,6,0,0,40,7,<=50K
31,47,189265,13,9,2,3,4,5,20,0,0,40,7,<=50K
42,12,124692,13,9,9,15,11,5,6,0,0,40,7,<=50K
24,12,432376,1,13,2,32,57,5,6,0,0,40,7,<=50K
38,12,65324,53,15,9,18,11,5,6,0,0,40,7,>50K
56,8,335605,13,9,9,25,11,5,6,0,1887,50,60,>50K
28,12,377869,27,10,9,32,19,5,20,4064,0,25,7,<=50K
36,12,102864,13,9,2,41,30,5,20,0,0,40,7,<=50K
53,12,95647,23,5,9,15,11,5,6,0,0,50,7,<=50K
56,55,303090,27,10,9,32,11,5,6,0,0,50,7,<=50K
49,47,197371,33,11,9,34,11,17,6,0,0,40,7,>50K
55,12,247552,27,10,9,32,11,5,6,0,0,56,7,<=50K
22,12,102632,13,9,2,34,4,5,6,0,0,41,7,<=50K
21,12,199915,27,10,2,25,30,5,20,0,0,40,7,<=50K
40,12,118853,1,13,9,10,11,5,6,0,0,60,7,<=50K
30,12,77143,1,13,2,10,30,17,6,0,0,40,61,<=50K
29,0,267989,1,13,9,18,11,5,6,0,0,50,7,>50K
19,12,301606,27,10,2,25,30,17,6,0,0,35,7,<=50K
47,12,287828,1,13,9,10,19,5,20,0,0,40,7,>50K
20,12,111697,27,10,2,3,30,5,20,0,1719,28,7,<=50K
31,12,114937,31,12,9,3,11,5,6,0,0,40,7,>50K
35,35,129305,13,9,9,35,11,5,6,0,0,40,7,<=50K
39,12,365739,27,10,14,34,4,5,6,0,0,40,7,<=50K
